Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
310,29.205,3.231,0,8175616,7765549056,17666707456,2219134976,36450017280
311,36.696,2.698,0,1990656,7954157568,17475559424,2219139072,36449996800
312,39.219,1.911,0,663552,8073039872,17355235328,2219155456,36450070528
313,6.351,2.698,0,3121152,8075669504,17358491648,2219155456,36450054144
314,9.397,3.576,16384,5808128,7464013824,17974108160,2219159552,36449435648
315,10.283,1.998,0,1691648,7478595584,17960513536,2219167744,36449386496
316,4.574,0.915,0,4165632,7480406016,17958649856,2219343872,36449501184
317,7.036,0.952,360448,3334144,7493988352,17944670208,2219442176,36449951744
318,9.761,1.895,0,602112,7440969728,17997635584,2219454464,36449828864
319,17.28,8.144,0,4562944,7548551168,18348249088,2219487232,35998420992
320,25.094,8.645,0,2646016,7641669632,18059812864,2219515904,36189605888
321,6.775,2.12,0,198664192,7662764032,18038140928,2219528192,36190003200
322,21.468,10.943,0,25993216,7868665856,17831301120,2219597824,36190494720
323,21.899,10.422,0,87900160,8036864000,17583579136,2219610112,36263018496
324,27.937,9.975,0,128073728,7968043008,17445330944,2219687936,36459089920
325,34.23,11.06,4603904,130068480,8452268032,16812396544,2219761664,36604678144
326,42.707,12.783,18677760,39809024,8855412736,16462675968,2219765760,36545318912
327,23.537,5.562,3112960,129748992,8878202880,16210202624,2219769856,36763230208
328,69.613,10.03,8716288,141115392,9341874176,15714979840,2219798528,36791541760
329,72.409,15.267,81920,117895168,9675636736,15108816896,2220052480,37049303040
330,79.028,12.361,0,180989952,10056556544,14455140352,2220068864,37312077824
331,77.603,12.027,0,217157632,10253754368,14038093824,2220072960,37523828736
332,76.289,9.256,32768,192724992,10525564928,13606592512,2220081152,37674831872
333,82.217,10.064,2473984,198410240,10933334016,12936151040,2220097536,37930795008
334,80.566,6.675,1687552,171630592,11211108352,12434083840,2220101632,38146056192
335,86.484,9.263,7536640,192999424,11564765184,11936346112,2220105728,38285488128
336,83.859,11.475,14663680,35549184,11830521856,11596079104,2220122112,38357155840
337,86.706,11.527,1687552,19722240,12327641088,11229204480,2220163072,38225387520
338,87.616,7.143,0,9240576,12374507520,11216437248,2220228608,38185676800
339,90.52,7.131,0,3497984,12567597056,11047272448,2220240896,38158409728
340,91.154,5.644,0,1552384,12843839488,10764369920,2220261376,38158647296
341,89.471,6.082,0,376832,13222752256,10377437184,2220265472,38158868480
342,91.96,5.151,0,3518464,13451292672,10145525760,2220453888,38158761984
343,88.116,5.099,327680,5906432,13684482048,9907363840,2220707840,38159138816
344,75.496,4.985,655360,2793472,13654188032,9900589056,2220830720,38187302912
345,33.834,4.547,0,737280,13312864256,10180984832,2220834816,38242263040
346,24.887,2.843,0,4329472,13476933632,10015358976,2220920832,38242770944
347,5.037,1.982,4096,6410240,13480878080,10010193920,2221105152,38243491840
348,9.305,1.696,561152,6090752,13481418752,10007883776,2221207552,38244376576
349,20.605,2.653,954368,4374528,13046910976,10385555456,2221289472,38299746304
350,16.196,3.738,0,71376896,12892119040,10518233088,2221301760,38327394304
351,8.361,1.977,0,165130240,12876582912,10533969920,2221305856,38327169024
352,10.787,4.456,16384,34156544,11940823040,11445796864,2221346816,38353747968
353,4.994,1.789,0,1413120,11932901376,11455397888,2221355008,38353747968
354,6.528,2.204,0,4198400,11853123584,11965161472,2221371392,37929172992
355,7.881,4.397,0,30703616,11849175040,11976142848,2221375488,37928931328
356,16.351,9.102,16384,19046400,9841725440,13998948352,2221432832,37927976960
357,8.696,6.585,32768,7647232,9711501312,14141677568,2221441024,37927444480
358,15.349,11.167,0,15581184,9805041664,14670237696,2221481984,37323927552
359,11.706,7.191,8699904,63627264,9784446976,14628716544,2221502464,37386235904
360,10.995,5.706,98304,133439488,9851957248,14559576064,2221514752,37388423168
361,39.539,13.194,0,34041856,8695263232,15727685632,2221588480,37393588224
362,30.111,14.566,49152,112201728,8462532608,15854686208,2221608960,37499117568
363,29.958,10.254,8798208,42029056,8422744064,15869706240,2221629440,37529296896
364,57.852,13.837,0,78655488,8633675776,15588683776,2221670400,37598519296
365,68.445,9.538,0,142315520,8911458304,15176658944,2221694976,37731000320
366,75.572,13.251,8798208,95002624,8612347904,15719501824,2221719552,37492551680
367,72.912,7.334,32768,133885952,8726528000,15585243136,2221752320,37511049216
368,71.115,12.458,7585792,147365888,8968093696,15236198400,2221768704,37616123904
369,78.357,9.445,1196032,116965376,9280069632,15103135744,2221785088,37438541824
370,82.365,9.778,16384,15663104,8906117120,15747391488,2221813760,37176680448
371,82.792,11.894,0,38096896,8918986752,15738765312,2221862912,37176156160
372,78.909,13.294,0,47456256,9339342848,15316267008,2221891584,37177036800
373,83.716,9.014,0,1335296,9414410240,15234908160,2221903872,37177184256
374,68.222,8.701,8699904,74506240,9571020800,15149047808,2221957120,37098602496
375,47.455,6.942,98304,152461312,9956507648,14569627648,2221969408,37284753408
376,42.732,7.31,524288,182059008,10325753856,13987422208,2221985792,37488648192
377,65.257,13.395,0,23756800,10627289088,13785341952,2222034944,37390581760
378,73.497,14.605,8798208,35926016,10906259456,13469233152,2222080000,37421006848
379,74.082,9.16,2359296,90693632,11027128320,13186101248,2222141440,37571444736
380,76.116,5.518,737280,155308032,11191840768,12966916096,2222141440,37620850688
381,80.126,8.042,8880128,115417088,11550973952,12419051520,2222161920,37805318144
382,75.22,8.274,6668288,112476160,11973255168,11990372352,2222182400,37807529984
383,64.837,7.809,0,20250624,11937325056,12011745280,2222309376,37820293120
384,67.391,6.522,524288,5439488,11925188608,12020580352,2222383104,37820100608
385,72.556,5.162,0,634880,12187295744,11751383040,2222383104,37820964864
