Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
115,5.667,1.708,0,143360,6820528128,11644469248,2892148736,41577549824
116,5.006,0.668,0,1200128,6883762176,11581120512,2892152832,41577644032
117,3.211,1.668,0,0,6915264512,11549597696,2892152832,41577664512
118,2.676,1.630,0,0,6948429824,11516432384,2892152832,41577664512
119,3.090,1.587,0,0,6979489792,11485372416,2892152832,41577664512
120,2.963,1.503,0,217088,7011532800,11453317120,2892152832,41577676800
121,3.299,0.919,0,540672,7036989440,11427856384,2892152832,41577680896
122,3.496,1.998,0,589824,7059324928,11405520896,2892152832,41577680896
123,4.357,2.324,0,221184,6643630080,11821223936,2892152832,41577680896
124,5.019,1.701,0,0,6706614272,11758170112,2892152832,41577684992
125,5.292,1.208,0,12288,6760820736,11703631872,2892152832,41577689088
126,4.875,1.125,0,507904,6783684608,11680653312,2892152832,41577705472
127,5.941,2.119,0,0,6663106560,11801174016,2892152832,41577713664
128,5.071,1.870,0,806912,6722203648,11741650944,2892156928,41577955328
129,5.660,1.665,0,0,6767259648,11696476160,2892156928,41577959424
130,5.988,0.707,0,188416,6798868480,11664732160,2892156928,41577963520
131,5.313,2.076,0,176128,6608068608,11828310016,2892156928,41605181440
132,1.084,1.293,0,27942912,6613557248,11822452736,2892156928,41605337088
133,0.375,1.293,0,0,6613540864,11822460928,2892156928,41605345280
134,0.375,1.374,0,0,6615359488,11820609536,2892156928,41605345280
135,0.250,0.250,0,12288,6614962176,11820986368,2892156928,41605349376
136,0.333,1.292,0,393216,6615171072,11820777472,2892156928,41605349376
137,0.209,1.461,0,0,6615326720,11820621824,2892156928,41605349376
138,0.333,1.167,0,0,6615699456,11820249088,2892156928,41605349376
139,0.209,0.960,0,0,6616039424,11819905024,2892156928,41605353472
140,0.250,0.708,0,16384,6616240128,11819700224,2892156928,41605357568
141,0.333,1.125,0,65536,6617092096,11818831872,2892156928,41605357568
142,4.182,2.342,0,4669440,6394224640,12047798272,2892156928,41605341184
143,4.819,3.905,16384,4083712,5962534912,12486410240,2892161024,41605115904
144,0.500,0.583,0,139264,5962358784,12487208960,2892161024,41605124096
145,0.209,1.084,0,12288,5962362880,12487204864,2892161024,41605124096
146,0.292,1.417,0,0,5962342400,12487213056,2892161024,41605136384
147,2.582,2.999,0,3133440,5872189440,12780445696,2892165120,41408843776
148,4.726,2.488,0,4001792,5873094656,12780081152,2892165120,41408159744
149,9.590,5.695,0,32882688,6026100736,12626247680,2892165120,41408507904
150,9.132,3.250,0,3502080,6043406336,12592570368,2892165120,41420115968
151,16.275,4.244,0,56958976,6280372224,12334415872,2892177408,41437933568
152,20.141,3.067,0,13520896,6382977024,12257669120,2892177408,41410564096
153,25.583,5.125,0,45481984,6569426944,11917332480,2892177408,41559863296
154,36.765,3.335,16384,688128,6671527936,11807670272,2892177408,41564991488
155,39.950,2.127,0,282624,6817284096,11655196672,2892177408,41571332096
156,16.701,2.077,4489216,23564288,6817251328,11648573440,2892177408,41577766912
157,4.576,1.747,0,110592,6656356352,11809488896,2892177408,41577558016
158,4.748,0.666,0,983040,6710652928,11755307008,2892177408,41577562112
159,0.835,1.211,0,286720,6715097088,11750330368,2892177408,41577725952
160,1.042,1.292,0,0,6716755968,11748466688,2892177408,41577930752
161,0.916,1.332,0,0,6718124032,11746844672,2892177408,41578184704
162,2.666,1.999,0,2281472,6656745472,11808665600,2892177408,41577611264
163,4.576,0.458,0,86016,6671532032,11793772544,2892177408,41577627648
164,3.003,1.168,0,1208320,6714998784,11750150144,2892177408,41577766912
165,0.417,1.376,0,151552,6716796928,11748352000,2892177408,41577783296
166,0.250,1.293,0,0,6716780544,11748368384,2892177408,41577783296
167,0.375,1.291,0,0,6716686336,11748462592,2892177408,41577783296
168,0.458,0.542,0,0,6711308288,11754545152,2892177408,41577803776
169,0.542,1.418,0,0,6720458752,11745292288,2892177408,41577824256
170,4.466,1.753,0,712704,6764171264,11700322304,2892177408,41577885696
171,3.878,1.585,32768,6680576,6778986496,11683397632,2892177408,41578897408
172,2.332,1.458,32768,8867840,6788878336,11673706496,2892177408,41578696704
173,6.193,0.914,0,0,6847303680,11615502336,2892177408,41578057728
174,4.400,1.868,0,0,6893445120,11569319936,2892177408,41578057728
175,3.167,1.542,0,24576,6922694656,11540058112,2892177408,41578070016
176,3.335,1.709,0,0,6952292352,11510472704,2892177408,41578074112
177,2.715,1.462,0,114688,6984101888,11478642688,2892177408,41578086400
178,3.081,1.041,0,0,7013224448,11449491456,2892177408,41578090496
179,3.653,1.826,0,0,7041564672,11421167616,2892177408,41578090496
180,3.501,1.834,0,5652480,7060901888,11401793536,2892177408,41578094592
181,4.267,1.781,0,491520,6624022528,11838652416,2892177408,41578123264
182,5.313,1.162,0,3215360,6680690688,11781873664,2892177408,41578123264
183,5.763,1.327,0,0,6740901888,11721572352,2892177408,41578131456
184,4.863,1.413,0,0,6788222976,11674247168,2892177408,41578135552
185,6.561,1.661,0,204800,6839627776,11622588416,2892177408,41578143744
186,5.350,1.742,0,0,6900215808,11561869312,2892177408,41578274816
187,3.289,0.874,0,5419008,6929821696,11532279808,2892177408,41578274816
188,2.836,1.751,0,0,6960594944,11501486080,2892177408,41578278912
189,2.719,1.673,0,0,6990909440,11471167488,2892177408,41578283008
190,3.001,1.709,0,98304,7019732992,11442360320,2892177408,41578283008
191,3.739,1.745,0,0,7047065600,11415023616,2892177408,41578287104
192,3.249,0.541,0,8192,7070871552,11391217664,2892177408,41578287104
193,4.375,1.917,0,233472,6637527040,11824533504,2892177408,41578291200
194,4.792,1.542,0,0,6703628288,11758288896,2892177408,41578295296
195,5.125,1.750,0,28672,6751629312,11710103552,2892177408,41578307584
196,4.426,1.336,0,0,6795571200,11665997824,2892177408,41578315776
197,5.401,1.288,0,892928,6658199552,11803447296,2892177408,41578319872
198,4.702,1.623,0,274432,6725566464,11736031232,2892177408,41578344448
199,5.602,1.577,0,0,6777028608,11684392960,2892177408,41578356736
200,4.965,1.544,0,8192,6798790656,11662598144,2892177408,41578356736
201,4.754,1.418,0,290816,6627368960,11806527488,2892177408,41605722112
202,0.333,0.625,0,17461248,6627086336,11806822400,2892181504,41605722112
203,0.541,1.497,0,10489856,6628098048,11805810688,2892181504,41605722112
204,0.333,1.499,0,0,6628352000,11805552640,2892181504,41605726208
205,0.541,1.291,0,32768,6629769216,11804061696,2892181504,41605734400
206,0.250,0.459,0,450560,6629732352,11804094464,2892181504,41605738496
207,0.417,0.958,0,0,6630019072,11803774976,2892181504,41605738496
208,0.499,1.373,0,0,6629638144,11804155904,2892181504,41605738496
