Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1108,8.459,5.444,0,34934784,4041457664,19194318848,2305044480,38320648192
1109,10.05,3.888,8798208,100634624,4094615552,19035541504,2305064960,38420262912
1110,20.555,3.44,0,7110656,4285173760,18841071616,2305064960,38422831104
1111,21.124,3.845,0,112861184,4389675008,18651205632,2305081344,38506737664
1112,33.859,2.241,0,2867200,4544946176,18492305408,2305085440,38506885120
1113,42.543,2.243,0,0,4692512768,18343628800,2305085440,38506913792
1114,15.503,1.995,0,823296,4730253312,18303131648,2305089536,38507061248
1115,5.699,1.456,0,114688,4766744576,18265632768,2305089536,38507061248
1116,5.191,1.329,327680,155648,4821319680,18210971648,2305089536,38507065344
1117,3.408,1.164,0,143360,4572143616,18432655360,2305089536,38534438912
1118,1.404,1.446,0,0,4570431488,18434916352,2305089536,38534434816
1119,1.199,1.158,0,0,4569759744,18435702784,2305089536,38534434816
1120,0.167,1.293,0,0,4569964544,18435497984,2305089536,38534434816
1121,0.333,0.458,0,0,4570124288,18435317760,2305089536,38534438912
1122,0.208,0.792,0,274432,4569694208,18435747840,2305089536,38534438912
1123,0.167,1.293,0,0,4569632768,18435801088,2305089536,38534438912
1124,0.167,1.126,0,12288,4569493504,18435878912,2305089536,38534451200
1125,0.25,1.168,0,0,4568731648,18436648960,2305089536,38534451200
1126,0.292,0.542,0,430080,4569714688,18436018176,2305089536,38534090752
1127,1.086,1.42,0,65536,4564226048,18441748480,2305089536,38534070272
1128,4.27,3.349,0,34603008,3949236224,19064188928,2305093632,38533664768
1129,2.051,2.26,16384,2584576,3936624640,19080777728,2305093632,38533509120
1130,2.803,2.929,0,2674688,3847811072,19414843392,2305093632,38293749760
1131,4.963,1.53,0,405504,3851063296,19384995840,2305093632,38320836608
1132,9.147,5.546,0,35713024,4035428352,19199537152,2305118208,38321168384
1133,10.883,3.725,8798208,102834176,4089753600,19037274112,2305122304,38422585344
1134,20.721,3.854,0,11628544,4259307520,18793574400,2305122304,38493040640
1135,23.001,4.163,0,107720704,4411248640,18628251648,2305134592,38506979328
1136,32.175,1.737,0,1798144,4545335296,18490507264,2305134592,38507208704
1137,41.514,2.787,0,0,4686725120,18348171264,2305134592,38507220992
1138,19.677,2.03,0,782336,4740210688,18291757056,2305134592,38507364352
1139,5.826,1.498,0,151552,4781699072,18249375744,2305138688,38507401216
1140,5.751,1.324,327680,122880,4836048896,18194817024,2305138688,38507409408
1141,3.336,1.126,0,122880,4582666240,18420690944,2305138688,38534774784
1142,3.867,1.123,0,0,4583194624,18420162560,2305138688,38534774784
1143,2.796,1.252,0,0,4579553280,18423799808,2305138688,38534778880
1144,3.125,1.333,0,0,4579205120,18424139776,2305138688,38534778880
1145,3.289,0.5,0,0,4579737600,18423615488,2305138688,38534778880
1146,3.208,0.833,0,303104,4579205120,18424147968,2305138688,38534778880
1147,3.44,1.16,0,0,4579893248,18423455744,2305138688,38534782976
1148,2.295,1.335,0,12288,4607901696,18395381760,2305138688,38534799360
1149,0.416,1.166,0,0,4609220608,18393915392,2305138688,38534930432
1150,0.208,0.333,0,430080,4609957888,18393538560,2305138688,38534569984
1151,1.254,1.672,0,65536,4600913920,18403430400,2305138688,38534545408
1152,5.875,3.31,16384,34676736,3955134464,19057295360,2305146880,38534074368
1153,2.584,2.876,0,2916352,3850743808,19165593600,2305150976,38533750784
1154,4.519,3.607,0,2523136,3829149696,19427430400,2305150976,38298984448
1155,4.762,1.713,0,33472512,3852259328,19382681600,2305167360,38321233920
1156,9.478,6.084,16384,27082752,4021223424,19185573888,2305175552,38346305536
1157,14.41,3.488,8781824,78327808,4169445376,18955362304,2305179648,38423588864
1158,20.363,3.8,0,59113472,4280225792,18729684992,2305187840,38534168576
1159,23.857,3.99,0,61288448,4449513472,18588405760,2305200128,38507364352
1160,31.856,1.823,0,0,4581072896,18453549056,2305200128,38507667456
1161,45.379,2.942,0,729088,4736679936,18296377344,2305200128,38507773952
1162,6.515,1.743,0,0,4770111488,18260533248,2305200128,38507835392
1163,6.725,1.536,0,172032,4813352960,18217050112,2305200128,38507839488
1164,2.125,1.333,0,3829760,4819697664,18210299904,2305253376,38508036096
1165,3.165,0.583,327680,3616768,4833112064,18196291584,2305294336,38508433408
1166,8.609,2.07,0,610304,4622135296,18380189696,2305298432,38535901184
1167,3.171,1.21,0,0,4623044608,18379276288,2305298432,38535905280
1168,3.119,1.04,0,0,4622610432,18379694080,2305298432,38535905280
1169,2.995,0.957,0,0,4623134720,18379177984,2305298432,38535905280
1170,2.869,0.457,0,0,4622778368,18379534336,2305298432,38535905280
1171,2.873,1.207,0,274432,4623732736,18378571776,2305298432,38535905280
1172,1.21,1.21,0,12288,4624842752,18377457664,2305298432,38535909376
1173,0.291,1.166,0,0,4624773120,18377515008,2305298432,38535921664
1174,0.292,0.75,0,0,4625403904,18376884224,2305298432,38535921664
1175,0.209,0.501,0,430080,4625182720,18377465856,2305298432,38535561216
1176,0.623,1.121,0,0,4625088512,18377560064,2305298432,38535561216
1177,3.713,2.378,0,31514624,4626427904,18382118912,2305302528,38535557120
1178,4.386,3.258,16384,4919296,3940253696,19072892928,2305318912,38535122944
1179,0.25,0.292,0,1171456,3939086336,19075100672,2305318912,38535114752
1180,0.084,1.169,0,0,3938598912,19075584000,2305318912,38535118848
1181,0.167,1.209,0,0,3938394112,19075784704,2305318912,38535122944
1182,0.79,1.373,0,40960,3850670080,19163508736,2305318912,38535122944
1183,4.574,3.41,0,2727936,3838279680,19413147648,2305327104,38304006144
1184,4.127,1.167,0,31039488,3851411456,19382476800,2305339392,38321528832
1185,8.599,6.082,0,5562368,3952238592,19280003072,2305355776,38321815552
1186,17.478,3.371,0,72445952,4093190144,19061817344,2305355776,38393860096
1187,18.062,4.206,5046272,140369920,4287598592,18621964288,2305368064,38634246144
1188,25.426,3.947,3751936,3866624,4434456576,18608168960,2305392640,38502522880
1189,32.375,1.958,0,6660096,4562305024,18472529920,2305400832,38508011520
1190,43.351,2.793,0,581632,4708306944,18325168128,2305400832,38508060672
1191,8.153,1.747,0,188416,4758622208,18272485376,2305400832,38508175360
1192,5.123,1.624,0,114688,4790112256,18239504384,2305404928,38508187648
1193,6.167,1.292,0,335872,4836950016,18192596992,2305413120,38508195840
1194,0.542,0.542,0,4468736,4837519360,18191319040,2305478656,38508584960
1195,2.458,1.708,327680,2490368,4862144512,18166571008,2305507328,38508720128
1196,4.489,2.078,0,634880,4614848512,18385813504,2305519616,38536245248
1197,0.167,1.21,0,0,4615401472,18385231872,2305519616,38536257536
1198,0.334,0.501,0,0,4616019968,18384621568,2305519616,38536257536
1199,0.125,0.751,0,0,4616220672,18384187392,2305519616,38536491008
1200,0.167,1.294,0,0,4616466432,18382258176,2305519616,38538166272
1201,0.251,1.169,0,274432,4617015296,18381709312,2305519616,38538166272
1202,0.167,1.251,0,12288,4617510912,18381119488,2305519616,38538178560
1203,0.5,0.458,0,0,4613267456,18385739776,2305519616,38538174464
1204,0.167,1.252,0,0,4611866624,18387456000,2305519616,38538178560
1205,0.209,1.126,0,425984,4611735552,18387955712,2305519616,38537818112
1206,0.334,1.252,0,0,4612214784,18387468288,2305519616,38537818112
1207,4.604,2.074,0,31662080,4561199104,18444505088,2305519616,38537781248
1208,3.88,2.253,16384,4542464,3939586048,19071021056,2305519616,38537367552
1209,3.192,2.819,0,3932160,3855208448,19375079424,2305519616,38324183040
1210,4.194,2.824,0,45056,3847278592,19383508992,2305519616,38323855360
1211,5.975,4.066,0,36343808,3948621824,19281362944,2305523712,38324080640
1212,8.025,5.447,0,89272320,3970379776,19163865088,2305540096,38412795904
1213,18.159,3.457,8798208,82391040,4224450560,18786865152,2305544192,38531555328
1214,16.355,3.362,0,50446336,4347097088,18686533632,2305564672,38510223360
1215,21.804,2.524,0,1748992,4499513344,18530660352,2305568768,38510379008
1216,33.361,2.56,0,253952,4607004672,18421608448,2305568768,38510448640
1217,45.114,2.412,0,593920,4786098176,18240712704,2305572864,38510485504
